date,product,sales
2020-01-01,B0085W2MUQ,1.5228075875056257
2020-01-02,B0085W2MUQ,0.8330888789028899
2020-01-03,B0085W2MUQ,3.9951742103329235
2020-01-04,B0085W2MUQ,4.007009510608313
2020-01-05,B0085W2MUQ,3.4088048000140865
2020-01-06,B0085W2MUQ,1.1740019529763197
2020-01-07,B0085W2MUQ,1.624322776815344
2020-01-08,B0085W2MUQ,3.4878767564377946
2020-01-09,B0085W2MUQ,3.617852309673755
2020-01-10,B0085W2MUQ,9.291867602455966
2020-01-11,B0085W2MUQ,2.9924304194452267
2020-01-12,B0085W2MUQ,2.354729379076175
2020-01-13,B0085W2MUQ,1.4817261939538684
2020-01-14,B0085W2MUQ,4.098928612971341
2020-01-15,B0085W2MUQ,4.587179470388028
2020-01-16,B0085W2MUQ,8.315245962711957
2020-01-17,B0085W2MUQ,1.7816439684013785
2020-01-18,B0085W2MUQ,4.260683103828848
2020-01-19,B0085W2MUQ,2.3023443879917793
2020-01-20,B0085W2MUQ,1.8871227240512722
2020-01-21,B0085W2MUQ,2.0287461873996904
2020-01-22,B0085W2MUQ,2.0559669393823903
2020-01-23,B0085W2MUQ,2.818726379545777
2020-01-24,B0085W2MUQ,2.0298265802062483
2020-01-25,B0085W2MUQ,3.055167691379312
2020-01-26,B0085W2MUQ,2.6024881017183237
2020-01-27,B0085W2MUQ,2.6026559749579032
2020-01-28,B0085W2MUQ,2.410277949271867
2020-01-29,B0085W2MUQ,3.5806162047129035
2020-01-30,B0085W2MUQ,4.378881099014447
2020-01-31,B0085W2MUQ,4.693364927843269
2020-02-01,B0085W2MUQ,3.7214370683713227
2020-02-02,B0085W2MUQ,2.656997835612673
2020-02-03,B0085W2MUQ,1.9251782501426555
2020-02-04,B0085W2MUQ,1.0535608891402228
2020-02-05,B0085W2MUQ,2.6829993504947636
2020-02-06,B0085W2MUQ,2.658110998388981
2020-02-07,B0085W2MUQ,3.238173646892416
2020-02-08,B0085W2MUQ,3.340921278811739
2020-02-09,B0085W2MUQ,2.1374993324360787
2020-02-10,B0085W2MUQ,2.2022525977891836
2020-02-11,B0085W2MUQ,1.9047175130180491
2020-02-12,B0085W2MUQ,4.1037385390859535
2020-02-13,B0085W2MUQ,3.5571319077957746
2020-02-14,B0085W2MUQ,4.112086300375032
2020-02-15,B0085W2MUQ,2.9852790319314906
2020-02-16,B0085W2MUQ,2.821734175490521
2020-02-17,B0085W2MUQ,2.6858300072228034
2020-02-18,B0085W2MUQ,2.267846105736335
2020-02-19,B0085W2MUQ,3.8124231016985957
2020-02-20,B0085W2MUQ,4.933911263684238
2020-02-21,B0085W2MUQ,2.5798872400637998
2020-02-22,B0085W2MUQ,2.3178306193288822
2020-02-23,B0085W2MUQ,3.371027920658963
2020-02-24,B0085W2MUQ,1.3934266140075566
2020-02-25,B0085W2MUQ,2.11812488175928
2020-02-26,B0085W2MUQ,2.5902804280646907
2020-02-27,B0085W2MUQ,2.633537773945328
2020-02-28,B0085W2MUQ,1.7408909402243233
2020-02-29,B0085W2MUQ,2.98009150026246
2020-03-01,B0085W2MUQ,6.784853874130365
2020-03-02,B0085W2MUQ,4.377561976239682
2020-03-03,B0085W2MUQ,3.5404807979331574
2020-03-04,B0085W2MUQ,6.6136600237577925
2020-03-05,B0085W2MUQ,6.304069362638297
2020-03-06,B0085W2MUQ,11.205264466544904
2020-03-07,B0085W2MUQ,9.835809295980084
2020-03-08,B0085W2MUQ,5.3455505364430405
2020-03-09,B0085W2MUQ,2.2170043223545903
2020-03-10,B0085W2MUQ,3.0867772760803027
2020-03-11,B0085W2MUQ,6.519857594533236
2020-03-12,B0085W2MUQ,4.619424281290596
2020-03-13,B0085W2MUQ,8.6157922630481
2020-03-14,B0085W2MUQ,6.2704182629068015
2020-03-15,B0085W2MUQ,7.898991946204215
2020-03-16,B0085W2MUQ,6.920759331466302
2020-03-17,B0085W2MUQ,5.355381544760533
2020-03-18,B0085W2MUQ,13.922399469125075
2020-03-19,B0085W2MUQ,14.691013249965659
2020-03-20,B0085W2MUQ,10.709176301824984
